,movieId,movieId_order,title
397,59,50,"Indian in the Cupboard, The (1995)"
3760,60,51,Eye for an Eye (1996)
379,61,52,Mr. Holland's Opus (1995)
3740,62,53,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
3003,64,54,Bio-Dome (1996)
2718,65,55,Lawnmower Man 2: Beyond Cyberspace (1996)
5386,67,56,French Twist (Gazon maudit) (1995)
698,68,57,Friday (1995)
587,69,58,From Dusk Till Dawn (1996)
2013,71,59,Kicking and Screaming (1995)
1595,72,60,"Misérables, Les (1995)"
2373,73,61,Bed of Roses (1996)
1493,75,62,Screamers (1995)
4090,76,63,Nico Icon (1995)
5285,77,64,"Crossing Guard, The (1995)"
472,78,65,"Juror, The (1996)"
4904,79,66,"White Balloon, The (Badkonake sefid) (1995)"
1641,80,67,Things to Do in Denver When You're Dead (1995)
426,81,68,Antonia's Line (Antonia) (1995)
1510,84,69,Angels and Insects (1995)
1030,85,70,White Squall (1996)
588,87,71,Black Sheep (1996)
2091,88,72,Nick of Time (1995)
4312,91,73,Mary Reilly (1996)
4313,92,74,Vampire in Brooklyn (1995)
1790,93,75,Beautiful Girls (1996)
440,94,76,Broken Arrow (1996)
1842,96,77,"Hate (Haine, La) (1995)"
2014,98,78,Heidi Fleiss: Hollywood Madam (1995)
5286,99,79,City Hall (1996)
5,100,80,Bottle Rocket (1996)
473,101,81,Mr. Wrong (1996)
509,103,82,Happy Gilmore (1996)
1302,104,83,"Bridges of Madison County, The (1995)"
5631,105,84,Nobody Loves Me (Keiner liebt mich) (1994)
416,106,85,Muppet Treasure Island (1996)
4091,107,86,Catwalk (1996)
6,109,87,Braveheart (1995)
282,110,88,Taxi Driver (1976)
510,111,89,Rumble in the Bronx (Hont faan kui) (1995)
4531,112,90,Before and After (1996)
5658,115,91,Anne Frank Remembered (1995)
427,120,92,"Boys of St. Vincent, The (1992)"
5602,121,93,Boomerang (1992)
4771,122,94,Chungking Express (Chung Hing sam lam) (1994)
3004,124,95,Flirting With Disaster (1996)
5376,131,96,Jade (1995)
2163,134,97,Down Periscope (1996)
1303,139,98,Up Close and Personal (1996)
380,140,99,"Birdcage, The (1996)"
2009,143,100,"Brothers McMullen, The (1995)"
2174,144,101,Bad Boys (1995)
4314,145,102,"Amazing Panda Adventure, The (1995)"
3049,146,103,"Basketball Diaries, The (1995)"
2015,147,104,"Awfully Big Adventure, An (1995)"
219,149,105,Apollo 13 (1995)
7,150,106,Rob Roy (1995)
474,152,107,Batman Forever (1995)
1435,153,108,Beauty of the Day (Belle de jour) (1967)
2016,154,109,Beyond Rangoon (1995)
5380,155,110,Blue in the Face (1995)
8,156,111,Canadian Bacon (1995)
398,157,112,Casper (1995)
4775,158,113,Clockers (1995)
642,159,114,Congo (1995)
466,160,115,Crimson Tide (1995)
643,161,116,Crumb (1994)
9,162,117,Desperado (1995)
4043,163,118,Devil in a Blue Dress (1995)
221,164,119,Die Hard: With a Vengeance (1995)
4092,165,120,"Doom Generation, The (1995)"
441,167,121,First Knight (1995)
3305,169,122,Hackers (1995)
699,170,123,Jeffrey (1995)
428,171,124,Johnny Mnemonic (1995)
429,172,125,Judge Dredd (1995)
475,173,126,Jury Duty (1995)
1310,174,127,Kids (1995)
1635,175,128,Living in Oblivion (1995)
4361,176,129,Lord of Illusions (1995)
525,179,130,Mallrats (1995)
2922,180,131,Mighty Morphin Power Rangers: The Movie (1995)
4905,182,132,Mute Witness (1994)
4093,183,133,Nadja (1994)
461,184,134,"Net, The (1995)"
2715,185,135,Nine Months (1995)
3896,186,136,Party Girl (1995)
3072,187,137,"Prophecy, The (1995)"
4906,189,138,Safe (1995)
2719,190,139,"Scarlet Letter, The (1995)"
476,192,140,Showgirls (1995)
1788,193,141,Smoke (1995)
4315,194,142,Something to Talk About (1995)
1974,195,143,Species (1995)
1517,197,144,Strange Days (1995)
3503,198,145,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
418,202,146,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
2164,203,147,Under Siege 2: Dark Territory (1995)
430,204,148,Unstrung Heroes (1995)
4094,205,149,Unzipped (1995)
3924,206,150,"Walk in the Clouds, A (1995)"
477,207,151,Waterworld (1995)
3131,208,152,White Man's Burden (1995)
4316,209,153,Wild Bill (1995)
4933,210,154,"Browning Version, The (1994)"
4317,211,155,Bushwhacked (1995)
2012,212,156,Burnt by the Sun (Utomlyonnye solntsem) (1994)
4045,213,157,Before the Rain (Pred dozhdot) (1994)
1764,214,158,Before Sunrise (1995)
10,215,159,Billy Madison (1995)
478,216,160,"Babysitter, The (1995)"
431,217,161,Boys on the Side (1995)
3010,221,162,Circle of Friends (1995)
413,222,163,Clerks (1994)
419,223,164,Don Juan DeMarco (1995)
442,224,165,Disclosure (1994)
2159,226,166,Drop Zone (1994)
2017,228,167,Death and the Maiden (1994)
399,229,168,Dolores Claiborne (1995)
11,230,169,Dumb & Dumber (Dumb and Dumber) (1994)
200,231,170,Eat Drink Man Woman (Yin shi nan nu) (1994)
3001,232,171,Exotica (1994)
4329,233,172,Exit to Eden (1994)
12,234,173,Ed Wood (1994)
400,235,174,French Kiss (1995)
1304,236,175,Forget Paris (1995)
479,237,176,Far From Home: The Adventures of Yellow Dog (1995)
5554,238,177,"Goofy Movie, A (1995)"
4169,240,178,Fluke (1995)
2064,241,179,Farinelli: il castrato (1994)
1357,245,180,Hoop Dreams (1994)
207,246,181,Heavenly Creatures (1994)
2156,247,182,Houseguest (1994)
1802,248,183,Immortal Beloved (1994)
4318,249,184,Heavyweights (Heavy Weights) (1995)
401,251,185,I.Q. (1994)
462,252,186,Interview with the Vampire: The Vampire Chronicles (1994)
2165,254,187,"Jerky Boys, The (1995)"
463,255,188,Junior (1994)
3960,256,189,Just Cause (1995)
2656,257,190,"Kid in King Arthur's Court, A (1995)"
480,258,191,Kiss of Death (1995)
13,259,192,Star Wars: Episode IV - A New Hope (1977)
208,260,193,Little Women (1994)
443,261,194,"Little Princess, A (1995)"
5387,262,195,Ladybird Ladybird (1994)
393,264,196,Like Water for Chocolate (Como agua para chocolate) (1992)
414,265,197,Legends of the Fall (1994)
2161,266,198,Major Payne (1995)
4404,269,199,Love Affair (1994)
444,270,200,Losing Isaiah (1995)
417,271,201,"Madness of King George, The (1994)"
2166,272,202,Mary Shelley's Frankenstein (Frankenstein) (1994)
4319,273,203,Man of the House (1995)
445,275,204,Milk Money (1994)
446,276,205,Miracle on 34th Street (1994)
2717,279,206,Murder in the First (1995)
402,280,207,Nobody's Fool (1994)
938,281,208,Nell (1994)
2018,282,209,New Jersey Drive (1995)
4409,283,210,New York Cop (Nyû Yôku no koppu) (1993)
5918,284,211,Beyond Bedlam (1993)
1306,287,212,Natural Born Killers (1994)
4403,288,213,Only You (1994)
209,289,214,Once Were Warriors (1994)
447,291,215,Outbreak (1995)
325,292,216,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
210,295,217,Pulp Fiction (1994)
2010,298,218,Priest (1994)
422,299,219,Quiz Show (1994)
4095,300,220,Picture Bride (Bijo photo) (1994)
4096,301,221,"Queen Margot (Reine Margot, La) (1994)"
2117,302,222,"Quick and the Dead, The (1995)"
2802,303,223,Roommates (1995)
4921,304,224,Ready to Wear (Pret-A-Porter) (1994)
432,305,225,Three Colors: Red (Trois couleurs: Rouge) (1994)
420,306,226,Three Colors: Blue (Trois couleurs: Bleu) (1993)
421,307,227,Three Colors: White (Trzy kolory: Bialy) (1994)
3640,312,228,"Swan Princess, The (1994)"
403,313,229,"Secret of Roan Inish, The (1994)"
3961,314,230,"Specialist, The (1994)"
448,315,231,Stargate (1994)
404,316,232,"Santa Clause, The (1994)"
277,317,233,"Shawshank Redemption, The (1994)"
1765,318,234,Shallow Grave (1994)
4532,320,235,Strawberry and Chocolate (Fresa y chocolate) (1993)
3123,321,236,Swimming with Sharks (1995)
4533,323,237,"Sum of Us, The (1994)"
481,324,238,National Lampoon's Senior Trip (1995)
2608,325,239,To Live (Huozhe) (1994)
433,326,240,Tank Girl (1995)
2167,327,241,Tales from the Crypt Presents: Demon Knight (1995)
449,328,242,Star Trek: Generations (1994)
2408,329,243,Tales from the Hood (1995)
5103,331,244,Village of the Damned (1995)
14,332,245,Tommy Boy (1995)
4033,333,246,Vanya on 42nd Street (1994)
4920,334,247,Underneath (1995)
405,336,248,What's Eating Gilbert Grape (1993)
2168,337,249,Virtuosity (1995)
381,338,250,While You Were Sleeping (1995)
4320,339,251,"War, The (1994)"
2609,340,252,Double Happiness (1994)
2121,341,253,Muriel's Wedding (1994)
482,342,254,"Baby-Sitters Club, The (1995)"
423,343,255,Ace Ventura: Pet Detective (1994)
1766,344,256,"Adventures of Priscilla, Queen of the Desert, The (1994)"
4052,345,257,Backbeat (1993)
2019,346,258,Bitter Moon (1992)
1767,347,259,Bullets Over Broadway (1994)
15,348,260,Clear and Present Danger (1994)
406,349,261,"Client, The (1994)"
407,350,262,"Corrina, Corrina (1994)"
318,352,263,"Crow, The (1994)"
2563,353,264,Cobb (1994)
450,354,265,"Flintstones, The (1994)"
16,355,266,Forrest Gump (1994)
322,356,267,Four Weddings and a Funeral (1994)
4321,360,268,It Could Happen to You (1994)
17,361,269,"Jungle Book, The (1994)"
4076,362,270,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
408,363,271,"Lion King, The (1994)"
877,364,272,Little Buddha (1993)
2169,365,273,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
18,366,274,"Mask, The (1994)"
499,367,275,Maverick (1994)
4046,368,276,Mrs. Parker and the Vicious Circle (1994)
1099,369,277,Naked Gun 33 1/3: The Final Insult (1994)
434,370,278,"Paper, The (1994)"
1843,371,279,Reality Bites (1994)
2476,372,280,Red Rock West (1992)
483,373,281,Richie Rich (1994)
2374,375,282,"River Wild, The (1994)"
319,376,283,Speed (1994)
1978,378,284,Timecop (1994)
511,379,285,True Lies (1994)
4164,380,286,When a Man Loves a Woman (1994)
484,381,287,Wolf (1994)
2158,382,288,Wyatt Earp (1994)
5288,384,289,"Man of No Importance, A (1994)"
4097,387,290,Boys Life (1995)
4387,388,291,"Colonel Chabert, Le (1994)"
4056,389,292,Faster Pussycat! Kill! Kill! (1965)
5736,390,293,Jason's Lyric (1994)
3855,392,294,Street Fighter (1994)
4203,406,295,In the Mouth of Madness (1995)
4330,407,296,8 Seconds (1994)
485,409,297,Addams Family Values (1993)
1814,411,298,"Age of Innocence, The (1993)"
2160,412,299,Airheads (1994)
4322,414,300,Another Stakeout (1993)
5603,415,301,Bad Girls (1994)
1436,416,302,Barcelona (1994)
486,418,303,"Beverly Hillbillies, The (1993)"
487,419,304,Beverly Hills Cop III (1994)
3303,420,305,Black Beauty (1994)
4723,421,306,Blink (1994)
4098,422,307,Blown Away (1994)
1437,424,308,Blue Sky (1994)
4099,425,309,Body Snatchers (1993)
4388,426,310,Boxing Helena (1993)
1638,427,311,"Bronx Tale, A (1993)"
6028,429,312,Calendar Girl (1993)
415,430,313,Carlito's Way (1993)
451,431,314,City Slickers II: The Legend of Curly's Gold (1994)
4331,432,315,Clean Slate (1994)
452,433,316,Cliffhanger (1993)
488,434,317,Coneheads (1993)
4332,435,318,Color of Night (1994)
3906,437,319,"Cowboy Way, The (1994)"
409,439,320,Dave (1993)
19,440,321,Dazed and Confused (1993)
467,441,322,Demolition Man (1993)
5388,443,323,Even Cowgirls Get the Blues (1993)
3968,444,324,Fatal Instinct (1993)
4034,445,325,Farewell My Concubine (Ba wang bie ji) (1993)
2600,447,326,Fearless (1993)
4323,449,327,With Honors (1994)
3427,450,328,Flesh and Bone (1993)
5289,451,329,Widows' Peak (1994)
5614,452,330,For Love or Money (1993)
410,453,331,"Firm, The (1993)"
3737,454,332,Free Willy (1993)
2065,455,333,Fresh (1994)
20,456,334,"Fugitive, The (1993)"
5389,460,335,Go Fish (1994)
1133,463,336,Hard Target (1993)
222,465,337,Hot Shots! Part Deux (1993)
3766,466,338,Live Nude Girls (1995)
4324,467,339,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
4325,468,340,"House of the Spirits, The (1993)"
1823,470,341,"Hudsucker Proxy, The (1994)"
211,473,342,In the Line of Fire (1993)
201,474,343,In the Name of the Father (1993)
2358,476,344,What's Love Got to Do with It? (1993)
21,479,345,Jurassic Park (1993)
4041,480,346,Kalifornia (1993)
1844,481,347,Killing Zoe (1994)
489,483,348,Lassie (1994)
1134,484,349,Last Action Hero (1993)
2815,485,350,Life with Mikey (1993)
5682,486,351,Lightning Jack (1994)
3080,489,352,Malice (1993)
411,490,353,"Man Without a Face, The (1993)"
1227,491,354,Manhattan Murder Mystery (1993)
3036,492,355,Menace II Society (1993)
692,493,356,Executive Decision (1996)
4100,494,357,In the Realm of the Senses (Ai no corrida) (1976)
2020,495,358,What Happened Was... (1994)
1789,496,359,Much Ado About Nothing (1993)
453,499,360,Mrs. Doubtfire (1993)
4054,500,361,Naked (1993)
490,501,362,"Next Karate Kid, The (1994)"
4362,504,363,North (1994)
4101,505,364,Orlando (1992)
2039,506,365,"Perfect World, A (1993)"
2029,507,366,Philadelphia (1993)
830,508,367,"Piano, The (1993)"
4444,510,368,"Program, The (1993)"
1979,511,369,"Puppet Masters, The (1994)"
2816,512,370,Radioland Murders (1994)
435,513,371,"Ref, The (1994)"
657,514,372,"Remains of the Day, The (1993)"
2157,515,373,Renaissance Man (1994)
2104,516,374,Rising Sun (1993)
491,518,375,RoboCop 3 (1993)
492,519,376,Robin Hood: Men in Tights (1993)
1845,521,377,Romper Stomper (1992)
966,522,378,Ruby in Paradise (1993)
1587,523,379,Rudy (1993)
4102,525,380,"Savage Nights (Nuits fauves, Les) (1992)"
22,526,381,Schindler's List (1993)
937,528,382,Searching for Bobby Fischer (1993)
212,530,383,"Secret Garden, The (1993)"
493,531,384,Serial Mom (1994)
1135,532,385,"Shadow, The (1994)"
2572,533,386,Shadowlands (1993)
967,534,387,Short Cuts (1993)
5345,535,388,"Simple Twist of Fate, A (1994)"
1422,536,389,Sirens (1994)
3005,537,390,Six Degrees of Separation (1993)
1307,538,391,Sleepless in Seattle (1993)
4333,539,392,Sliver (1993)
326,540,393,Blade Runner (1982)
454,541,394,Son in Law (1993)
23,542,395,So I Married an Axe Murderer (1993)
4746,546,396,Surviving the Game (1994)
4334,547,397,Terminal Velocity (1994)
4080,548,398,Thirty-Two Short Films About Glenn Gould (1993)
4335,549,399,Threesome (1994)
332,550,400,"Nightmare Before Christmas, The (1993)"
24,551,401,"Three Musketeers, The (1993)"
25,552,402,Tombstone (1993)
834,554,403,True Romance (1993)
2477,555,404,"War Room, The (1993)"
2395,557,405,"Pagemaster, The (1994)"
1403,561,406,Welcome to the Dollhouse (1995)
5390,562,407,Germinal (1993)
3304,567,408,Bhaji on the Beach (1993)
4326,568,409,Little Big League (1994)
3132,573,410,Spanking the Monkey (1994)
494,574,411,"Little Rascals, The (1994)"
2066,579,412,Princess Caraboo (1994)
2011,580,413,"Celluloid Closet, The (1995)"
5391,582,414,Dear Diary (Caro Diario) (1994)
878,584,415,"Brady Bunch Movie, The (1995)"
1263,585,416,Home Alone (1990)
455,586,417,Ghost (1990)
202,587,418,Aladdin (1992)
279,588,419,Terminator 2: Judgment Day (1991)
26,589,420,Dances with Wolves (1990)
27,591,421,Batman (1989)
28,592,422,"Silence of the Lambs, The (1991)"
213,593,423,Snow White and the Seven Dwarfs (1937)
214,594,424,Beauty and the Beast (1991)
29,595,425,Pinocchio (1940)
456,596,426,Pretty Woman (1990)
2603,598,427,"Wild Bunch, The (1969)"
1846,599,428,Love and a .45 (1994)
4103,601,429,"Great Day in Harlem, A (1994)"
385,604,430,One Fine Day (1996)
1136,605,431,Candyman: Farewell to the Flesh (1995)
30,607,432,Fargo (1996)
412,608,433,Homeward Bound II: Lost in San Francisco (1996)
424,609,434,Heavy Metal (1981)
5919,610,435,Hellraiser: Bloodline (1996)
5290,612,436,Jane Eyre (1996)
457,615,437,"Aristocats, The (1970)"
5659,616,438,"Flower of My Secret, The (La flor de mi secreto) (1995)"
5983,618,439,Ed (1996)
5984,625,440,"Thin Line Between Love and Hate, A (1996)"
4923,626,441,"Last Supper, The (1995)"
879,627,442,Primal Fear (1996)
458,630,443,All Dogs Go to Heaven 2 (1996)
5392,631,444,Land and Freedom (Tierra y libertad) (1995)
3907,632,445,Denise Calls Up (1995)
1560,636,446,Sgt. Bilko (1996)
5393,638,447,Girl 6 (1996)
2660,639,448,Diabolique (1996)
5394,644,449,Nelly & Monsieur Arnaud (1995)
1031,646,450,Courage Under Fire (1996)
223,647,451,Mission: Impossible (1996)
5985,649,452,Moll Flanders (1996)
1504,652,453,Dragonheart (1996)
3767,655,454,Eddie (1996)
31,660,455,James and the Giant Peach (1996)
3408,661,456,Fear (1996)
1325,662,457,Kids in the Hall: Brain Candy (1996)
4541,664,458,Underground (1995)
2720,666,459,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
2021,667,460,Song of the Little Road (Pather Panchali) (1955)
3506,669,461,"World of Apu, The (Apur Sansar) (1959)"
566,670,462,Mystery Science Theater 3000: The Movie (1996)
1381,672,463,Space Jam (1996)
333,673,464,Barbarella (1968)
2031,677,465,Some Folks Call It a Sling Blade (1993)
2067,678,466,"Run of the Country, The (1995)"
4752,679,467,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
436,684,468,It's My Party (1996)
2131,687,469,Operation Dumbo Drop (1995)
3970,690,470,Mrs. Winterbourne (1996)
3768,691,471,Solo (1996)
3409,693,472,"Substitute, The (1996)"
4166,694,473,True Crime (1996)
3011,699,474,Angus (1995)
3769,703,475,"Quest, The (1996)"
1642,706,476,Mulholland Falls (1996)
816,707,477,"Truth About Cats & Dogs, The (1996)"
3641,708,478,Oliver & Company (1988)
459,710,479,Flipper (1996)
1640,713,480,Dead Man (1995)
2041,714,481,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
1518,717,482,"Visitors, The (Visiteurs, Les) (1993)"
1384,718,483,Multiplicity (1996)
334,719,484,Wallace & Gromit: The Best of Aardman Animation (1996)
4534,721,485,"Haunted World of Edward D. Wood Jr., The (1996)"
335,723,486,"Craft, The (1996)"
2520,727,487,Cold Comfort Farm (1995)
5883,730,488,Heaven's Prisoners (1996)
32,732,489,"Rock, The (1996)"
3052,734,490,Cemetery Man (Dellamorte Dellamore) (1994)
382,735,491,Twister (1996)
2126,736,492,Barb Wire (1996)
1120,740,493,Ghost in the Shell (Kôkaku kidôtai) (1995)
1332,741,494,Thinner (1996)
1382,742,495,Spy Hard (1996)
327,744,496,Wallace & Gromit: A Close Shave (1995)
1388,746,497,"Stupids, The (1996)"
1507,747,498,"Arrival, The (1996)"
224,749,499,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
5328,756,500,Ashes of Time (Dung che sai duk) (1994)
4104,758,501,Maya Lin: A Strong Clear Vision (1994)
1847,759,502,Stalingrad (1993)
1636,760,503,"Phantom, The (1996)"
2721,761,504,Striptease (1996)
1438,763,505,Heavy (1995)
589,764,506,Jack (1996)
4049,765,507,I Shot Andy Warhol (1996)
526,777,508,Trainspotting (1996)
6004,778,509,'Til There Was You (1997)
220,779,510,Independence Day (a.k.a. ID4) (1996)
693,780,511,Stealing Beauty (1996)
3765,781,512,"Fan, The (1996)"
320,782,513,"Hunchback of Notre Dame, The (1996)"
386,783,514,"Cable Guy, The (1996)"
590,784,515,Kingpin (1996)
1385,785,516,Eraser (1996)
468,787,517,"Nutty Professor, The (1996)"
5660,790,518,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
5395,794,519,Somebody to Love (1994)
3843,797,520,Daylight (1996)
968,798,521,"Frighteners, The (1996)"
1393,799,522,Lone Star (1996)
1033,800,523,Harriet the Spy (1996)
1032,801,524,Phenomenon (1996)
4105,802,525,Walking and Talking (1996)
33,803,526,She's the One (1996)
951,804,527,"Time to Kill, A (1996)"
5638,807,528,Alaska (1996)
3770,808,529,Fled (1996)
495,809,530,Kazaam (1996)
1389,812,531,Larger Than Life (1996)
336,817,532,"Very Brady Sequel, A (1996)"
4389,823,533,Kaspar Hauser (1993)
496,827,534,"Adventures of Pinocchio, The (1996)"
3762,828,535,Joe's Apartment (1996)
3730,829,536,"First Wives Club, The (1996)"
591,831,537,Ransom (1996)
3771,832,538,High School High (1996)
4032,834,539,Foxfire (1996)
2522,835,540,Chain Reaction (1996)
337,836,541,Matilda (1996)
2090,837,542,Emma (1996)
1519,838,543,"Crow: City of Angels, The (1996)"
1390,839,544,House Arrest (1996)
3772,841,545,Tales from the Crypt Presents: Bordello of Blood (1996)
1397,847,546,"Spitfire Grill, The (1996)"
1490,848,547,Escape from L.A. (1996)
4106,850,548,Basquiat (1996)
321,851,549,Tin Cup (1996)
280,857,550,"Godfather, The (1972)"
700,860,551,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)
686,865,552,Bound (1996)
1439,868,553,Kansas City (1996)
4949,875,554,Supercop 2 (Project S) (Chao ji ji hua) (1993)
1391,878,555,"Relic, The (1997)"
2521,879,556,"Island of Dr. Moreau, The (1996)"
3773,885,557,Bulletproof (1996)
5649,888,558,1-900 (06) (1994)
3774,890,559,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
3958,891,560,Twelfth Night (1996)
1333,892,561,Mother Night (1996)
701,896,562,For Whom the Bell Tolls (1943)
1394,897,563,"Philadelphia Story, The (1940)"
644,898,564,Singin' in the Rain (1952)
2602,899,565,"American in Paris, An (1951)"
5742,900,566,Funny Face (1957)
1646,901,567,Breakfast at Tiffany's (1961)
338,902,568,Vertigo (1958)
274,903,569,Rear Window (1954)
1423,904,570,It Happened One Night (1934)
1673,905,571,Gaslight (1944)
5915,906,572,"Gay Divorcee, The (1934)"
645,907,573,North by Northwest (1959)
1693,908,574,"Apartment, The (1960)"
313,909,575,Some Like It Hot (1959)
676,910,576,Charade (1963)
377,911,577,Casablanca (1942)
328,912,578,"Maltese Falcon, The (1941)"
1558,913,579,My Fair Lady (1964)
702,914,580,Sabrina (1954)
1672,915,581,Roman Holiday (1953)
2132,916,582,"Little Princess, The (1939)"
1599,917,583,Meet Me in St. Louis (1944)
34,918,584,"Wizard of Oz, The (1939)"
646,919,585,Gone with the Wind (1939)
2471,920,586,My Favorite Year (1982)
658,921,587,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
35,922,588,Citizen Kane (1941)
225,923,589,2001: A Space Odyssey (1968)
1685,925,590,All About Eve (1950)
3484,926,591,"Women, The (1939)"
1674,927,592,Rebecca (1940)
1395,929,593,Notorious (1946)
339,930,594,Spellbound (1945)
1678,931,595,"Affair to Remember, An (1957)"
340,932,596,To Catch a Thief (1955)
1590,933,597,Father of the Bride (1950)
4542,934,598,"Band Wagon, The (1953)"
1440,935,599,Ninotchka (1939)
5396,936,600,Love in the Afternoon (1957)
2610,937,601,Gigi (1958)
36,939,602,"Adventures of Robin Hood, The (1938)"
3348,940,603,"Mark of Zorro, The (1940)"
703,941,604,Laura (1944)
37,942,605,"Ghost and Mrs. Muir, The (1947)"
2661,943,606,Lost Horizon (1937)
1420,944,607,Top Hat (1935)
1701,945,608,To Be or Not to Be (1942)
1441,946,609,My Man Godfrey (1936)
1690,947,610,Giant (1956)
4042,948,611,East of Eden (1955)
1980,949,612,"Thin Man, The (1934)"
704,950,613,His Girl Friday (1940)
1981,951,614,Around the World in 80 Days (1956)
773,952,615,It's a Wonderful Life (1946)
38,953,616,Mr. Smith Goes to Washington (1939)
705,954,617,Bringing Up Baby (1938)
3512,955,618,Penny Serenade (1941)
5397,960,619,Little Lord Fauntleroy (1936)
2848,964,620,"39 Steps, The (1935)"
1982,967,621,Night of the Living Dead (1968)
677,968,622,"African Queen, The (1951)"
1702,970,623,Cat on a Hot Tin Roof (1958)
3110,972,624,Meet John Doe (1941)
5661,983,625,"Pompatus of Love, The (1996)"
2092,985,626,Fly Away Home (1996)
3775,989,627,Maximum Risk (1996)
3012,990,628,Michael Collins (1996)
687,993,629,Big Night (1996)
4327,995,630,Last Man Standing (1996)
3741,997,631,Set It Off (1996)
1442,998,632,2 Days in the Valley (1996)
4328,1003,633,"Glimmer Man, The (1996)"
3761,1005,634,"Chamber, The (1996)"
1334,1008,635,Escape to Witch Mountain (1975)
3336,1009,636,"Love Bug, The (1969)"
2128,1010,637,Herbie Rides Again (1974)
1244,1011,638,Old Yeller (1957)
4717,1012,639,"Parent Trap, The (1961)"
5672,1013,640,Pollyanna (1960)
2841,1014,641,Homeward Bound: The Incredible Journey (1993)
2100,1016,642,Swiss Family Robinson (1960)
1516,1018,643,"20,000 Leagues Under the Sea (1954)"
2366,1019,644,Cool Runnings (1993)
4718,1020,645,Angels in the Outfield (1994)
1498,1021,646,Cinderella (1950)
39,1022,647,Winnie the Pooh and the Blustery Day (1968)
40,1023,648,"Three Caballeros, The (1945)"
41,1024,649,"Sword in the Stone, The (1963)"
2845,1026,650,Robin Hood: Prince of Thieves (1991)
536,1027,651,Mary Poppins (1964)
42,1028,652,Dumbo (1941)
2133,1029,653,Pete's Dragon (1977)
43,1030,654,Bedknobs and Broomsticks (1971)
44,1031,655,Alice in Wonderland (1951)
592,1032,656,"Fox and the Hound, The (1981)"
5510,1033,657,Freeway (1996)
537,1034,658,"Sound of Music, The (1965)"
291,1035,659,Die Hard (1988)
593,1036,660,"Lawnmower Man, The (1992)"
2461,1040,661,Secrets & Lies (1996)
45,1041,662,That Thing You Do! (1996)
3983,1045,663,Beautiful Thing (1996)
706,1046,664,"Long Kiss Goodnight, The (1996)"
46,1048,665,"Ghost and the Darkness, The (1996)"
2611,1049,666,Looking for Richard (1996)
